department,course_code,title,units,description
AEROSPC,AEROSPC 1B,Foundations of the U.S. Air Force,1,"A survey course designed to introduce cadets to the U.S. Air Force and the Air Force Reserve Officer Training Corps (AFROTC). Featured topics include the history and structure of the U.S. Air Force, the Air Force’s capabilities, career opportunities, benefits, Air Force installations, and communications skills. Additionally, AFROTC cadets must attend Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force"
AEROSPC,AEROSPC 2A,The Evolution of Air and Space Power,1,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict"
AEROSPC,AEROSPC 2B,The Evolution of Air and Space Power,1,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like"
AEROSPC,AEROSPC 100,Leadership Laboratory,0.0,"Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses. It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership"
AEROSPC,AEROSPC 135A,Leadership Studies,3,"This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written assignments"
AEROSPC,AEROSPC 135B,Leadership Studies,3,"This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written"
AFRICAM,AFRICAM R1A,Freshman Composition,4,"Training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement."
AFRICAM,AFRICAM R1AN,Reading and Composition,3,"To provide Summer Bridge students with training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement."
AFRICAM,AFRICAM R1B,Freshman Composition,4,"Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement."
AFRICAM,AFRICAM 4A,Africa: History and Culture,4,"Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems."
AFRICAM,AFRICAM 4B,Africa: History and Culture,4,"Emphasis on social, political, and economic change in 20th century Africa; with further emphasis upon the roles of modernization, urbanization, and the emergence of contemporary African states."
AFRICAM,AFRICAM N4A,Africa: History and Culture,3,"Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems."
AFRICAM,AFRICAM 5A,African American Life and Culture in the United States,4,"A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents."
AFRICAM,AFRICAM 5B,African American Life and Culture in the United States,4,Emphasis on the social experience of African Americans. An interdisciplinary approach designed to help students understand the forces and ideas that are influencing the individual and collective African American experience.
AFRICAM,AFRICAM 7A,Elementary Wolof,4,"This course introduces students to speaking, listening, reading, and writing in Wolof. Instruction is mixed English and Wolof. Emphasis is placed on developing student ability to create and to communicate with basic Wolof structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading"
AFRICAM,AFRICAM 7B,Elementary Wolof,4,"This course introduces students to speaking, listening, reading, and writing in Wolof. Instruction is mixed English and Wolof. Emphasis is placed on developing student ability to create and to communicate with basic Wolof structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from the Berkeley Language Center."
AFRICAM,AFRICAM 8A,Intermediate Wolof,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Wolof and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading"
AFRICAM,AFRICAM 8B,Intermediate Wolof,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Wolof, and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and"
AFRICAM,AFRICAM 9A,Advanced Wolof,4,"This course reviews and expands students' knowledge from Intermediate Wolof. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises"
AFRICAM,AFRICAM 9B,Advanced Wolof,4,"This course reviews and expands students' knowledge from Intermediate Wolof. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions, written exercises"
AFRICAM,AFRICAM 10A,Intermediate Swahili,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading"
AFRICAM,AFRICAM 10B,Intermediate Swahili,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and"
AFRICAM,AFRICAM 11A,Elementary Swahili,4,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center."
AFRICAM,AFRICAM 11B,Elementary Swahili,4,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language"
AFRICAM,AFRICAM 12,Intensive Elementary Swahili,8,"This will be an intensive introduction of the Swahili language to beginners specifically designed for second language Swahili learners. The course is equivalent to two semesters of studying Swahili, with a full academic year credit. In order to attain the necessary proficiency (1-1+, using Interagency Round Table (ILR) scale) by the end of 8 weeks, students will need to commit themselves to use"
AFRICAM,AFRICAM 13A,Elementary Zulu,4,"This course introduces students to speaking, listening, reading, and writing in Zulu. Instruction is mixed English and Zulu. Emphasis is placed on developing student ability to create and to communicate with basic Zulu structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing"
AFRICAM,AFRICAM 13B,Elementary Zulu,4,"This course introduces students to speaking, listening, reading, and writing in Zulu. Instruction is mixed English and Zulu. Emphasis is placed on developing student ability to create and to communicate with basic Zulu structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing"
AFRICAM,AFRICAM 14A,Intermediate Zulu,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Zulu. Oral and written communication is emphasized. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent"
AFRICAM,AFRICAM 14B,Intermediate Zulu,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Zulu. Oral and written communication is emphasized. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent"
AFRICAM,AFRICAM 15A,Advanced Swahili,4,"This course reviews and expands students' knowledge from Intermediate Swahili. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions"
AFRICAM,AFRICAM 15B,Advanced Swahili,4,"This course reviews and expands students' knowledge from Intermediate Swahili. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, research projects with texts available through Berkeley's African Library"
AFRICAM,AFRICAM 16A,Elementary Igbo,4,"Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious"
AFRICAM,AFRICAM 16B,Elementary Igbo,4,"Igbo is one of the main languages spoken in Nigeria. Originating in southeastern Nigeria among the Igbo people, Igbo is spoken by around 30 million people in Nigeria and throughout the Diaspora. The Igbo language is in the Niger-Congo language family. There are several Igbo dialects spoken in Eastern Nigeria, with some being mutually intelligible. A ""Standard Igbo"" is used in Eastern Nigeria for government, law, education and religious"
AFRICAM,AFRICAM 18A,Elementary Amharic,4,"Amharic is one of the major languages of Ethiopia, spoken by over 21 million people there, and widely used by emigrants in the Diaspora. This course introduces the Amharic language and culture to both non-native and heritage language learners. The class primarily emphasizes listening, speaking, reading and writing through communicative activities, enabling students to perform various tasks in the target language. We will also become familiar with"
AFRICAM,AFRICAM 18B,Elementary Amharic,4,"This course introduces students to more complex speaking, writing and listening exercise. The course covers different tasks of intermediate abstraction. It mainly focuses on speaking. The speaking is mostly carried out by students in dialogue, role play and narrative format."
AFRICAM,AFRICAM 19A,Advanced Zulu,4,"This course reviews and expands students' knowledge from Intermediate Zulu. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises"
AFRICAM,AFRICAM 19B,Advanced Zulu,4,"This course reviews and expands students' knowledge from Intermediate Zulu. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises"
AFRICAM,AFRICAM C20AC,THE 2020 ELECTION,4,"During the fall 2020 semester we will have the quadrennial opportunity to study American politics during a presidential campaign. Combining real-time analysis of the election, an in-depth study of the relevant historical and sociological trends that are shaping this moment, and a lively roster of guest speakers from across the Berkeley campus and community, this class will provide students with a comprehensive and interdisciplinary introduction to American politics"
AFRICAM,AFRICAM 21A,Intermediate Amharic,4,"This course continues to build on what students learned in its prerequisite course,"
AFRICAM,AFRICAM 21B,Intermediate Amharic,4,"A student is required to have successfully completed Intermediate Amharic I (21A)at UC Berkeley. Students who took Amharic elsewhere may have to take a PLACEMENT test before enrolling in this course. The design of this syllabus is based on global standards for teaching Amharic as a foreign language, and ACTFL proficiency guidelines. To familiarize yourself with the standards and ACTFL proficiency guidelines, visit the following link:http://www.actfl.org/publications/all/national-standards-foreign-language-education."
AFRICAM,AFRICAM 24,Freshman Seminars,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
AFRICAM,AFRICAM 25AC,African American Music and US Popular Culture,4,"This course is an interdisciplinary analysis of the aesthetics and politics of the US through a focus on Black popular music since WWII with an emphasis on the “Black Awakening” of the 1960s. With the African American experience at the center, this course will explore constructions of whiteness through the lens of jazz, disco and hip hop identity formation, as well as works of members of the Asian"
AFRICAM,AFRICAM 27AC,"Race, Racism and Resistance in the United States",3,"This course explores the role of race, racism and resistance in the United States from 1492 to the present. We do this by reading autobiographical works written by racial justice activists alongside works in the theory of racial formations. Together we ask: What is race? How do we define and recognize racism? How has race shaped the lives of Americans historically classified as minorities? And how have anti-racist intellectuals represented the"
AFRICAM,AFRICAM 28AC,Globalization and Minority American Communities,3,"An examination of the movement of individuals, ideas, ideologies, and institutions between minority American communities in the U.S. (African Americans, Asians, Chicanos) and their cultures of origin, in the 19th and 20th centuries. The course will utilize the concepts of ""migration,"" ""diaspora,"" ""otherness,"" ""multiculturalism,"" and ""global village"" and will draw largely on social science"
AFRICAM,AFRICAM 30A,Elementary Chichewa,4,"This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center."
AFRICAM,AFRICAM 30B,Elementary Chichewa,4,"This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language"
AFRICAM,AFRICAM 31A,Intermediate Chichewa,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading"
AFRICAM,AFRICAM 31B,Intermediate Chichewa,4,"This course reviews and expands students' knowledge of fundamental structures from Elementary Chichewa and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are"
AFRICAM,AFRICAM 39B,Freshman/Sophmore Seminar,2,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
AFRICAM,AFRICAM 39D,Freshman/Sophmore Seminar,2,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
AFRICAM,AFRICAM 39E,Freshman/Sophmore Seminar,2,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
AFRICAM,AFRICAM 39F,Freshman/Sophmore Seminar,2,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
AFRICAM,AFRICAM 39G,Freshman/Sophmore Seminar,2,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
AFRICAM,AFRICAM 39H,Freshman/Sophmore Seminar,2,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
AFRICAM,AFRICAM 40,Special Topics,3,"This course is designed to provide students with an opportunity to work closely with African American Studies faculty, investigating a topic of mutual interest in great depth. Designed primarily for lower division students and non-majors. Topics vary from semester to semester."
AFRICAM,AFRICAM 84,Sophomore Seminar,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
AFRICAM,AFRICAM 98,Directed Group Studies for Freshmen and Sophomores,1,Supervised research on specific topics related to African American Studies.
AFRICAM,AFRICAM 98BC,Berkeley Connect,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
AFRICAM,AFRICAM 99,Supervised Independent Studies for Freshmen and Sophomores,1,Supervised research on specific topics related to African American Studies.
AFRICAM,AFRICAM 100,Black Intellectual Thought,4,"This course, lets students explore the status of African American studies as a discipline. The class will discuss the social relevance of African American studies, the political origins of the discipline, and the debate over Afrocentricity. Special attention will be devoted to the contributions of black feminist theory and community scholars/organic intellectuals to the development of the discipline."
AFRICAM,AFRICAM 101,Research Methods for African American Studies,4,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods."
AFRICAM,AFRICAM 107,Race and Public Policy,3,"This course examines the formation and implementation of public policies directly relevant to the black community. While the policies analyzed differ from year to year, basic public policy methodology will be introduced each year."
AFRICAM,AFRICAM 109,Black and Male in American Life,3,"The course examines ways gender and race constructions shape the lives of African American males. Developmental in design, we examine black males in the context of childhood, adolescence, gender relations and family, and the world of work."
AFRICAM,AFRICAM 111,"Race, Class, and Gender in the United States",3,"Emphasis on social history and comparative analysis of race, class, and gender relations in American society. Examines both similarities and differences, and highlights gender politics."
AFRICAM,AFRICAM W111,"Race, Class, and Gender",3,"A focus on patterns of globalization, migration, and race/ethnic relations with regard to African Americans, Mexican Americans, and Asian Americans in the 1890s and 1990s. Key aspects like economics, politics, gender, and culture are examined. This course is web-based."
AFRICAM,AFRICAM 112A,Political and Economic Development in the Third World,4,An examination of the structural and actual manifestations of Third World underdevelopment and the broad spectrum of theoretical positions put forward to explain it. Underdevelopment will be viewed from both the international and intranational perspective.
AFRICAM,AFRICAM 112B,Political and Economic Development in the Third World,4,A critical appraisal of the theoretically based policies employed by Third World nations in their attempts at transition to modernized developed socio-political and economic systems and an examination of the international and intranational impediments to Third World development. The focus will be on actual examples that represent the diversity of developing countries.
AFRICAM,AFRICAM 113AC,Racial Capitalism,4,
AFRICAM,AFRICAM 114,Introduction to African Linguistics,3,"The course will provide an overview of the linguistic structure of African languages. Because the Bantu languages constitute the largest sub-group in sub-Saharan Africa, there will be much focus on the description of the major grammatical features of Bantu languages. The descriptions of African linguistic structure will be accompanied by insights into the contributions made by African languages to general linguistics. Data from various African"
AFRICAM,AFRICAM 115,Language and Social Issues in Africa,3,"This is an upper division course dealing with the relevance of language to social issues in African societies. It will focus on political developments in Africa and the use of language in fostering national identity; attaining cultural emancipation; and as a tool of oppression, of maintenance of social relations, and of addressing issues of education and childhood development, etc. The course will examine such issues as the roots of national"
AFRICAM,AFRICAM 116,Slavery and African American Life Before 1865,4,"This course will examine the origins of the African slave trade, and explore political, economic, demographic and cultural factors shaping African American life and culture prior to 1865."
AFRICAM,AFRICAM 117,"African Americans in the Industrial Age, 1865-1970",4,"With emphasis given to the organization of labor after slavery, this course will explore the history of African American cultural, institutions and protest traditions from the Civil War to the Civil Rights Movement."
AFRICAM,AFRICAM 118,The Slave Trade and Culture in the Modern Atlantic World,3,"The course explores the role of the transatlantic slave trade in the evolution of the Atlantic world, comprising four continents: Africa, Europe, and North and South America. Although the course will deal with various aspects of the slave trade, it will emphasize cultural themes. The discovery of fresh data and the application of more sophisticated techniques have in recent years combined with a growing willingness of specialists to speak to"
AFRICAM,AFRICAM 119,Selected Topics in the Sociohistorical Development of the Black World,1,Topics will vary each semester.
AFRICAM,AFRICAM 120,Africa From Revolution to Globalization,4,"This course offers a panorama of the African historical experience from the political economic dynamics of Africa at the onset of European colonization in the late nineteenth century, through the colonial period, to our age of globalization. For better or for worse, African history and culture have shaped and have been shaped by European colonial rule and its aftermath, but we shall also give due attention to postcolonial-era structures and"
AFRICAM,AFRICAM 121,Black Political Life in the United States,4,"Analysis of the theoretical and historical development of African Americans' political forms and expression. Examination of local, state, and federal political processes and activities, and the development of black political ideologies, organizations, and movements."
AFRICAM,AFRICAM 122,African American Families in American Society,3,Examines the historical roles and functions of families in the development of black people in America from slavery to the present.
AFRICAM,AFRICAM 123,Social and Political Thought in the Diaspora,3,"An examination of social and political thought of Africans traveling across the Diaspora, with particular focus on the 19th and 20th centuries."
AFRICAM,AFRICAM W124,The Philosophy of Martin Luther King,3,"Using the thought and actions of Martin Luther King, this course examines the major events of the Civil Rights Movement. Reading includes original works by King as well as secondary sources with a special emphasis on African American religion, nonviolence, and integration. This course is web-based."
AFRICAM,AFRICAM 125,History of the Civil Rights Movement,4,"The objective of this course is to examine the modern civil rights movement. As understood traditionally, this period began with the United States Supreme Court decision of May 17, 1954, Brown vs. Board of Education, until the passage of the Voting Rights Act of 1965. This course will seek to place this movement in the context of global developments and in the context of the broad sweep of United States history. Assigned readings consist"
AFRICAM,AFRICAM 125AC,The History of the Modern Civil Rights Movement,3,"The objective of this course is to examine the modern Civil Rights Movement. As traditionally understood, this period began with the May 17, 1954, ""Brown vs. Board of Education” Supreme Court decision and ended with the passage of the Voting Rights Act of 1965. This course will expand this time frame and seek to place this movement in the context of global developments"
AFRICAM,AFRICAM 126,African American Women's History,4,"The objective of this course is to examine substantive issues in the African American female experience from colonial times to the present. The dominant themes of this course include family, work, community, sexuality, and individual and collective activism. Particular attention will be paid to the interplay between race, class, and gender in American society. Assigned readings consist of an introduction to the scholarly secondary literature"
AFRICAM,AFRICAM 127,"Pan Afrikan Social Modemets: Past, Present and Future -- Study Abroad",6,"Pan-Afrikan Social Movements: Past, Present and Future is an immersive study abroad experience based in Ghana. Through site-based experiences, weekly lectures and weekly interactive workshops, students will examine Black/Afrikan Liberation Stories. This course will provide students with an in-depth perspective/case study from the historical trajectory of the Ghanaian Independence"
AFRICAM,AFRICAM 131,Caribbean Societies and Cultures,3,"Comparative study of Spanish, Dutch, English, and French-speaking Caribbean societies. Analysis of Caribbean social structure including the development of the plantation system, urban dynamics, ethnic politics, family structures, and ecology of African Caribbean religions."
AFRICAM,AFRICAM N131,Caribbean Societies and Cultures,3,"This course will combine a broad overview of the Caribbean with a focus on specific issues that are central to the field of Caribbean studies. One of its aims is to introduce Caribbean social structure and expressive culture. This will be supplemented with specific discussions of the plantation system as a social structure, ethnic politics, the debate around Caribbean social stratification (class"
AFRICAM,AFRICAM C133A,What is the Role of Race in Urban Schools?,3,"This course will focus on understanding urban schools as a part of a broader system of social stratification and the process by which students in urban schools come to a sense of themselves as students, as members of cultural and racial groups, and as young people in America. Topics include racial identity; race/ethnicity in schools; urban neighborhood contexts; and schooling in the juvenile justice system. Students will also integrate course readings"
AFRICAM,AFRICAM 134,Information Technology and Society,4,"This course assesses the role of information technology in the digitalization of society by focusing on the deployment of e-government, e-commerce, e-learning, the digital city, telecommuting, virtual communities, Internet time, the virtual office, and the geography of cyberspace. Course will also discuss the role of information technology in the governance and economic development of society."
AFRICAM,AFRICAM C134,Information Technology and Society,4,"This course assesses the role of information technology in the digitalization of society by focusing on the deployment of e-government, e-commerce, e-learning, the digital city, telecommuting, virtual communities, internet time, the virtual office, and the geography of cyber space. The course will also discuss the role of information technology in the governance and economic development of society."
